id,address,city,floor,price,rooms,sq,year
0,Józefa Mackiewicza,Białystok,2,470000.0,2,4831.0,2010
1,Kazimierza Pułaskiego,Białystok,1,402000.0,3,526.0,1998
2,Wysoki Stoczek 15,Białystok,3,545000.0,4,68.0,2000
3,Jurowiecka,Białystok,6,1115000.0,4,7133.0,2021
4,Mieszka I I,Białystok,0,468000.0,5,72.0,1980
5,Władysława Broniewskiego,Białystok,2,299000.0,2,36.0,1970
6,Artura Grottgera,Białystok,3,499900.0,2,432.0,1962
7,Starobojarska,Białystok,1,433000.0,3,549.0,1992
8,Jana Kilińskiego,Białystok,3,450000.0,2,5613.0,1960
9,Scaleniowa,Białystok,8,400000.0,3,598.0,1988
10,Radzymińska,Białystok,1,460000.0,4,719.0,1983
11,Hetmańska,Białystok,0,375000.0,3,5018.0,2023
12,Aleja Józefa Piłsudskiego,Białystok,6,350000.0,2,4739.0,1963
13,Olsztyńska,Białystok,1,355000.0,3,48.0,
14,Lipowa,Białystok,3,399000.0,2,54.0,1955
15,Hugo Kołłątaja,Białystok,3,399000.0,2,54.0,2000
16,42 Pułku Piechoty,Białystok,1,575000.0,3,522.0,2023
17,Sienkiewicza,Białystok,4,399000.0,2,517.0,1991
18,42 Pułku Piechoty,Białystok,2,429000.0,3,522.0,2022
19,Jagienki,Białystok,0,339000.0,2,39.0,1974
20,Oleńki,Białystok,2,674000.0,4,6993.0,2022
21,Kręta,Białystok,4,540000.0,2,4774.0,2017
22,Aleja Józefa Piłsudskiego,Białystok,10,489000.0,3,52.0,1970
23,Aleja Józefa Piłsudskiego 21,Białystok,2,449000.0,3,45.0,1970
24,Ludwika Waryńskiego,Białystok,0,318000.0,1,335.0,1946
25,Szeroka,Białystok,2,569000.0,3,65.0,1997
26,Józefa Ignacego Kraszewskiego,Białystok,4,735000.0,3,5906.0,2023
27,Walentego Lewandowskiego,Białystok,2,484000.0,3,6204.0,2023
28,Marczukowska,Białystok,2,581000.0,4,6951.0,2024
29,Ciepła,Białystok,4,327540.0,2,318.0,
30,Borsucza,Białystok,3,360000.0,3,6019.0,1984
31,Adama Mickiewicza,Białystok,1,379000.0,2,517.0,
32,Fabryczna,Białystok,5,415900.0,3,489.0,1980
33,św. Wojciecha,Białystok,4,359000.0,4,578.0,
34,św. Rocha,Białystok,4,517000.0,2,4392.0,2023
35,Komisji Edukacji Narodowej,Białystok,2,369000.0,2,451.0,2003
36,Aleja Józefa Piłsudskiego,Białystok,4,405000.0,2,4204.0,
37,Zwierzyniecka,Białystok,3,378000.0,2,36.0,1966
38,Mieszka I I,Białystok,3,399000.0,3,481.0,
39,Komisji Edukacji Narodowej,Białystok,3,429000.0,2,457.0,2007
40,Sienkiewicza,Białystok,0,419900.0,1,3835.0,1955
41,42 Pułku Piechoty,Białystok,2,429000.0,3,50.0,2022
42,Józefa Ignacego Kraszewskiego,Białystok,8,439000.0,2,36.0,2022
43,Kazimierza Pułaskiego,Białystok,3,576000.0,3,72.0,1990
44,Rzemieślnicza,Białystok,3,675000.0,3,63.0,2022
45,Zagórna,Białystok,4,329000.0,2,44.0,1990
46,Studzienna,Białystok,3,435000.0,3,599.0,
47,Wasilkowska,Białystok,4,379000.0,3,58.0,
48,gen. Władysława Sikorskiego,Białystok,4,399000.0,3,586.0,1984
49,Radzymińska,Białystok,9,399000.0,3,681.0,1984
50,Atłasowa,Białystok,1,429000.0,3,5223.0,2013
51,Walentego Lewandowskiego,Białystok,1,460000.0,3,5794.0,2023
52,Marczukowska,Białystok,1,480000.0,3,5598.0,2024
53,Ciepła,Białystok,4,446000.0,3,446.0,
54,Marii Curie-Skłodowskiej,Białystok,7,465500.0,2,49.0,1999
55,Mikołaja Kopernika,Białystok,0,399000.0,3,391.0,
56,Łąkowa,Białystok,2,530000.0,4,732.0,1992
57,Młynowa,Białystok,6,739000.0,3,5847.0,2016
58,Wasilkowska,Białystok,4,379000.0,3,5786.0,1977
59,św. Wojciecha,Białystok,3,379000.0,4,679.0,1978
60,gen. Józefa Hallera,Białystok,1,565000.0,2,5608.0,2021
61,Mieszka I I,Białystok,2,320000.0,3,485.0,
62,Walentego Lewandowskiego,Białystok,4,468000.0,3,5694.0,2023
63,Marczukowska,Białystok,1,582000.0,3,6975.0,2024
64,Ciepła,Białystok,3,450080.0,3,464.0,
65,Sudecka,Białystok,3,799000.0,3,63.0,2021
66,Świętojańska,Białystok,4,380000.0,2,456.0,1980
67,Ukośna,Białystok,1,445692.0,2,5714.0,
68,Hetmańska,Białystok,1,395000.0,3,5218.0,2023
69,Starosielce,Białystok,1,510000.0,3,689.0,2023
70,Bohaterów Monte Cassino,Białystok,4,320000.0,2,39.0,1979
71,Stalowa 5,Białystok,1,559000.0,3,634.0,2018
72,Jurowiecka,Białystok,5,385000.0,2,3399.0,2022
73,Ciepła,Białystok,4,450000.0,3,454.0,1976
74,Depowa,Białystok,3,625000.0,3,5701.0,2022
75,Wiatrakowa,Białystok,5,389000.0,3,65.0,1991
76,Piastowska 3,Białystok,3,529995.0,4,59.0,
77,Słonimska,Białystok,3,749000.0,5,80.0,2017
78,Aleja Józefa Piłsudskiego,Białystok,6,285000.0,1,347.0,
79,Mieszka I I,Białystok,4,375000.0,2,482.0,1974
80,Łąkowa,Białystok,9,679000.0,3,5788.0,2016
81,Wiejska 8,Białystok,0,387000.0,2,33.0,
82,gen. Józefa Bema,Białystok,1,365000.0,3,485.0,1980
83,Leszczynowa,Białystok,2,375000.0,3,485.0,1980
84,Marczukowska,Białystok,1,576000.0,4,6951.0,2024
85,Ciepła,Białystok,2,441540.0,3,446.0,
86,Bolesława Chrobrego 3,Białystok,0,395000.0,2,40.0,
87,Gajowa,Białystok,1,495000.0,4,482.0,
88,Komisji Edukacji Narodowej,Białystok,3,335000.0,1,355.0,2003
89,gen. Władysława Sikorskiego,Białystok,2,415000.0,3,4705.0,2023
90,Wiejska,Białystok,1,495000.0,3,578.0,1983
91,Stołeczna,Białystok,2,359000.0,2,453.0,1980
92,Wiatrakowa,Białystok,2,420000.0,2,3884.0,2021
93,Antoniukowska,Białystok,4,430000.0,3,554.0,1973
94,św. Wojciecha,Białystok,4,425000.0,3,488.0,
95,Upalna,Białystok,3,459000.0,3,695.0,1980
96,św. Jerzego,Białystok,2,560000.0,3,605.0,2011
97,Młynowa,Białystok,4,629000.0,2,45.0,2017
98,Komisji Edukacji Narodowej,Białystok,1,409000.0,2,48.0,2003
99,Towarowa,Białystok,4,325000.0,3,489.0,1977
100,Wołyńska,Białystok,3,805000.0,4,8666.0,2011
101,Aleja Józefa Piłsudskiego,Białystok,5,369000.0,2,542.0,
102,Kazimierza Pułaskiego,Białystok,1,426000.0,3,526.0,1995
103,Depowa,Białystok,2,619000.0,3,5711.0,2022
104,Białostoczek,Białystok,3,450000.0,3,601.0,1980
105,Plażowa 5,Białystok,4,389000.0,3,4506.0,2023
106,Gajowa,Białystok,1,345000.0,2,477.0,1981
107,Józefa Ignacego Kraszewskiego,Białystok,4,680000.0,4,68.0,
108,Michała Pietkiewicza,Białystok,1,499000.0,2,482.0,2004
